,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
,UCOBANK.NS,UNIONBANK.NS,UCOBANK.NS,UNIONBANK.NS,UCOBANK.NS,UNIONBANK.NS,UCOBANK.NS,UNIONBANK.NS,UCOBANK.NS,UNIONBANK.NS,UCOBANK.NS,UNIONBANK.NS
Date,,,,,,,,,,,,
2019-01-01,22.700000762939453,80.92779541015625,22.700000762939453,88.30000305175781,23.5,89.0,21.049999237060547,85.55000305175781,21.450000762939453,86.69999694824219,14040027,9352838
2019-01-02,22.100000381469727,80.83613586425781,22.100000381469727,88.19999694824219,23.049999237060547,89.80000305175781,21.899999618530273,87.30000305175781,22.700000762939453,88.8499984741211,4000028,11020333
2019-01-03,21.100000381469727,81.34022521972656,21.100000381469727,88.75,21.799999237060547,89.69999694824219,20.950000762939453,87.55000305175781,21.75,88.19999694824219,1704867,8303993
2019-01-04,21.75,84.54800415039062,21.75,92.25,22.0,93.0,21.350000381469727,88.19999694824219,21.700000762939453,88.94999694824219,2979116,15625825
2019-01-07,21.25,83.03575897216797,21.25,90.5999984741211,22.200000762939453,94.19999694824219,21.149999618530273,89.8499984741211,22.200000762939453,93.69999694824219,849720,9581302
2019-01-08,21.5,86.6559829711914,21.5,94.55000305175781,21.700000762939453,95.5,21.0,89.9000015258789,21.5,90.5999984741211,1780408,12121456
2019-01-09,21.149999618530273,84.31887817382812,21.149999618530273,92.0,21.75,95.19999694824219,21.0,91.19999694824219,21.649999618530273,95.0999984741211,755725,10605358
2019-01-10,20.799999237060547,85.05208587646484,20.799999237060547,92.80000305175781,21.149999618530273,93.55000305175781,20.700000762939453,91.1500015258789,21.149999618530273,91.80000305175781,609814,5790987
2019-01-11,20.850000381469727,85.83111572265625,20.850000381469727,93.6500015258789,21.25,94.8499984741211,20.549999237060547,92.0,20.899999618530273,92.5,812649,10264202
2019-01-14,20.600000381469727,86.38102722167969,20.600000381469727,94.25,20.799999237060547,95.44999694824219,20.5,91.05000305175781,20.799999237060547,93.19999694824219,427529,10367880
2019-01-15,20.549999237060547,86.28937530517578,20.549999237060547,94.1500015258789,21.0,94.94999694824219,20.5,93.0,21.0,94.19999694824219,328502,8255203
2019-01-16,20.600000381469727,88.168212890625,20.600000381469727,96.19999694824219,20.899999618530273,97.0,20.450000762939453,93.30000305175781,20.549999237060547,93.69999694824219,561232,9593343
2019-01-17,20.549999237060547,86.9309310913086,20.549999237060547,94.8499984741211,20.799999237060547,97.0,20.5,93.5,20.75,96.5999984741211,406907,8840714
2019-01-18,20.5,84.77713012695312,20.5,92.5,20.899999618530273,95.30000305175781,20.450000762939453,91.6500015258789,20.899999618530273,95.0,391173,7303587
2019-01-21,20.049999237060547,79.09477996826172,20.049999237060547,86.30000305175781,20.600000381469727,93.5,20.0,85.0999984741211,20.600000381469727,92.55000305175781,398824,22590728
2019-01-22,19.549999237060547,76.94097137451172,19.549999237060547,83.94999694824219,20.049999237060547,86.5999984741211,19.5,82.80000305175781,19.899999618530273,85.0,318786,16395769
2019-01-23,19.850000381469727,75.8411636352539,19.850000381469727,82.75,20.100000381469727,84.69999694824219,19.350000381469727,82.30000305175781,19.549999237060547,84.25,371440,7830565
2019-01-24,19.700000762939453,75.6120376586914,19.700000762939453,82.5,19.799999237060547,83.55000305175781,19.450000762939453,82.0,19.450000762939453,82.9000015258789,225101,6625042
2019-01-25,19.149999618530273,72.81668090820312,19.149999618530273,79.44999694824219,19.950000762939453,83.69999694824219,19.0,78.9000015258789,19.700000762939453,82.69999694824219,347742,9353149
2019-01-28,18.549999237060547,71.8543472290039,18.549999237060547,78.4000015258789,19.25,80.4000015258789,18.5,77.5999984741211,19.149999618530273,79.44999694824219,394554,7611090
2019-01-29,18.75,73.36659240722656,18.75,80.05000305175781,18.850000381469727,81.3499984741211,18.049999237060547,77.8499984741211,18.600000381469727,78.19999694824219,314916,9561030
2019-01-30,18.799999237060547,74.42057037353516,18.799999237060547,81.19999694824219,19.100000381469727,81.8499984741211,18.649999618530273,79.44999694824219,18.649999618530273,80.30000305175781,270395,6665473
2019-01-31,19.049999237060547,75.8411636352539,19.049999237060547,82.75,19.299999237060547,83.4000015258789,18.700000762939453,79.75,18.899999618530273,81.5999984741211,334017,8495733
2019-02-01,19.0,74.64970397949219,19.0,81.44999694824219,19.5,84.3499984741211,18.850000381469727,80.19999694824219,19.049999237060547,83.0,383347,10592499
2019-02-04,18.549999237060547,72.81668090820312,18.549999237060547,79.44999694824219,18.799999237060547,81.25,18.450000762939453,78.0,18.649999618530273,81.25,223380,6977579
2019-02-05,18.100000381469727,71.6252212524414,18.100000381469727,78.1500015258789,18.600000381469727,80.6500015258789,17.600000381469727,77.0,18.399999618530273,79.80000305175781,345865,6870366
2019-02-06,17.850000381469727,72.77085876464844,17.850000381469727,79.4000015258789,18.200000762939453,79.69999694824219,17.600000381469727,76.05000305175781,18.100000381469727,78.55000305175781,342422,6741919
2019-02-07,18.100000381469727,72.22095489501953,18.100000381469727,78.80000305175781,18.5,80.9000015258789,17.75,78.0999984741211,17.950000762939453,79.25,333838,5938788
2019-02-08,17.799999237060547,66.44693756103516,17.799999237060547,72.5,18.350000381469727,78.3499984741211,16.899999618530273,72.05000305175781,18.350000381469727,78.05000305175781,1315865,15553054
2019-02-11,17.5,66.12616729736328,17.5,72.1500015258789,17.649999618530273,73.05000305175781,17.100000381469727,71.25,17.100000381469727,72.4000015258789,355504,8149862
2019-02-12,17.25,64.52227020263672,17.25,70.4000015258789,17.649999618530273,72.69999694824219,17.100000381469727,70.05000305175781,17.600000381469727,72.1500015258789,208419,7899565
2019-02-14,17.25,65.02635192871094,17.25,70.94999694824219,17.399999618530273,71.6500015258789,16.899999618530273,68.30000305175781,16.899999618530273,69.44999694824219,215837,10625776
2019-02-15,17.149999618530273,62.91838455200195,17.149999618530273,68.6500015258789,17.450000762939453,71.1500015258789,17.049999237060547,68.0999984741211,17.25,71.0,183029,6551655
2019-02-18,16.950000762939453,62.276817321777344,16.950000762939453,67.94999694824219,17.299999237060547,69.5,16.700000762939453,67.5,17.149999618530273,68.75,230757,5620070
2019-02-19,17.049999237060547,62.78090286254883,17.049999237060547,68.5,17.350000381469727,70.55000305175781,16.899999618530273,67.5999984741211,17.100000381469727,68.0,199185,8287336
2019-02-20,17.25,63.83488845825195,17.25,69.6500015258789,17.350000381469727,70.0999984741211,17.0,68.5,17.149999618530273,68.80000305175781,258873,6424383
